EStree IncrementalDynamicSSSP Dijkstra Dsource ScaledEStree
5 2488 243 1 3
4 2337 238 1 3
4 2397 244 1 2
6 3178 241 1 2
7 2191 242 1 2
4 1972 240 1 2
4 2078 238 1 2
6 2340 239 1 2
4 2062 238 1 2
4 2033 239 1 2
6 2656 250 1 2
5 2927 239 1 3
5 20687 273 21 12
5 18410 285 15 7
21 7472 248 1 2
6 2580 239 1 3
4 2652 243 1 2
5 17923 274 18 8
8 2047 238 1 2
6 3375 240 14 3
5 17724 267 14 7
6 16781 266 13 8
4 27232 315 20 9
8 2503 241 1 2
27 28551 322 24 14
4 2715 243 1 3
6 16893 267 14 7
10 26266 357 25 10
6 3033 257 1 2
13 20891 322 20 10
9 19640 340 21 12
7 19076 342 22 9
7 24625 352 24 11
5 23364 341 24 8
7 21513 347 25 10
5 5119 269 14 3
7 19735 330 21 8
7 19004 322 24 14
7 8352 252 1 3
5 19926 262 17 8
8 23887 258 1 7
4 20231 276 1 3
3 24539 309 21 5
4 5412 246 1 3
4 8143 298 23 11
9 33120 373 26 14
9 5694 268 1 3
8 4455 262 1 3
5 2119 253 1 2
3 2180 251 1 2
9 44385 353 2 19
8 6980 261 1 3
6 29478 299 1 9
10 28272 312 2 9
7 28315 304 1 7
7 5018 248 1 2
4 24693 326 1 9
7 4620 246 1 3
6 3947 242 1 2
5 29586 297 1 10
6 25364 315 2 9
8 2468 244 1 2
5 2075 244 1 2
4 2325 241 1 2
3 2002 237 1 1
4 2080 239 1 2
4 25386 295 1 7
4 5430 247 1 3
6 24570 312 1 7
9 2916 244 1 2
4 2347 243 1 2
4 2124 242 1 2
3 1976 240 1 2
4 2322 241 1 2
4 2429 241 1 2
3 2004 241 1 1
4 2530 242 1 3
3 2306 242 1 2
3 26745 305 1 7
6 24973 308 1 7
7 24621 304 1 9
6 2812 244 1 3
4 2726 241 1 6
10 1996 242 1 1
5 2388 242 1 2
5 2404 242 1 2
13 4423 243 0 1
6 2229 242 1 2
3 2414 241 1 2
5 1913 240 1 2
3 2232 242 1 2
3 2277 242 1 2
6 25984 328 2 14
6 1568 264 0 1
6 2077 255 1 2
9 2359 245 1 2
5 2361 241 1 2
6 1929 241 1 2
4 1856 241 1 2
5 1832 241 1 1
4 27842 388 1 9
22 2375 271 1 2
25 27559 307 1 11
10 1802 248 1 1
5 2070 243 1 2
5 2096 250 1 2
4 2179 248 1 2
7 3246 243 1 3
4 2194 244 1 2
9 36183 325 1 14
7 28039 334 1 9
4 24469 312 1 6
4 3355 246 1 3
4 24954 314 1 7
5 2902 250 5 8
4 28193 328 1 9
5 2279 248 1 2
7 21673 303 1 8
4 2300 245 1 2
2 2160 241 1 2
4 21725 298 1 7
4 7146 253 1 3
4 1904 243 1 2
7 21408 293 1 9
4 2344 244 1 2
3 5099 249 1 2
3 1937 242 1 2
4 1866 241 1 1
8 21684 294 1 10
9 1977 246 1 2
6 21053 346 1 11
4 2540 267 1 2
5 52442 347 25 87
11 22144 319 18 12
11 23388 395 24 13
10 28946 380 23 11
11 4788 285 2 5
7 2272 274 13 2
8 2020 270 1 2
10 6193 274 1 3
7 28490 361 25 9
13 2194 248 13 2
10 2358 246 11 6
5 1939 245 11 2
5 1952 243 11 2
6 1969 244 10 2
6 1929 247 11 2
