EStree IncrementalDynamicSSSP Dijkstra Dsource ScaledEStree
3 676 112 1 1
4 633 109 0 1
4 777 113 1 3
4 639 113 1 1
3 632 110 0 1
4 654 109 1 1
4 652 109 1 1
3 657 109 0 1
4 650 109 0 1
3 633 109 1 1
3 648 109 1 1
3 645 109 0 1
4 635 110 1 1
4 635 110 1 1
3 643 109 1 1
3 644 108 0 1
3 638 108 0 1
4 645 109 0 1
4 653 110 0 1
3 773 110 1 5
3 637 109 0 1
3 673 116 0 1
4 682 110 1 1
3 655 109 4 1
3 654 108 1 1
3 676 114 0 1
4 656 109 1 1
3 654 109 0 1
3 667 109 1 1
3 656 109 1 1
3 1577 122 2 6
4 692 110 1 1
4 636 109 0 1
6 637 110 1 1
3 639 110 1 1
4 656 110 1 1
4 628 113 1 1
4 648 109 0 1
4 642 110 1 1
3 644 109 1 1
3 635 110 1 1
4 661 110 1 1
4 630 111 1 1
4 644 110 1 1
3 648 110 0 1
3 639 110 1 1
3 646 110 0 1
4 641 109 1 1
3 706 113 0 1
3 657 110 1 1
3 650 114 0 1
4 665 112 1 1
3 684 114 7 1
4 653 111 1 1
3 644 110 0 1
3 655 111 0 1
4 673 112 0 1
4 658 114 0 1
3 655 116 1 1
4 692 111 1 1
3 671 113 1 1
4 661 112 1 1
3 678 113 0 1
3 655 111 0 1
4 657 111 1 1
3 664 110 1 1
4 656 111 1 1
4 694 112 1 1
4 646 113 0 1
4 679 114 1 1
4 684 112 1 1
4 681 113 1 1
4 683 117 1 1
4 679 116 1 1
4 666 114 1 1
3 1633 667 1 20
42 562 113 0 1
5 641 111 1 1
5 618 111 0 1
5 623 110 1 1
5 624 111 0 1
4 661 110 1 1
4 818 110 1 1
5 681 110 0 1
5 636 112 1 1
4 656 112 0 1
5 629 111 1 1
4 648 112 1 1
4 636 112 1 1
5 646 111 0 1
4 642 112 1 1
5 630 112 0 1
4 640 112 1 1
4 665 113 1 1
4 901 111 1 2
4 656 112 0 1
5 642 112 3 1
4 673 111 1 1
5 668 112 1 1
5 637 112 1 1
4 635 111 0 1
4 636 111 1 1
4 663 114 1 1
4 648 112 1 1
4 644 112 1 1
4 677 115 1 1
5 687 114 1 1
4 969 115 1 1
4 665 118 1 1
4 681 116 1 1
5 664 112 1 1
5 650 111 1 1
4 658 112 0 1
5 648 115 0 1
4 734 113 1 1
4 681 111 1 1
4 662 112 1 1
4 668 112 1 1
4 1112 113 2 3
4 672 111 1 1
6 646 112 1 1
4 650 111 1 1
6 643 112 0 1
4 653 133 0 1
4 673 112 1 1
4 672 112 1 1
4 633 113 0 1
4 650 111 1 1
4 651 112 0 1
4 675 112 1 1
4 649 111 1 1
4 651 127 0 1
4 651 113 0 1
4 661 112 0 1
4 692 127 1 1
5 651 113 1 1
4 666 112 1 1
4 650 111 1 1
4 647 111 1 1
