RIndependent Gonzalez BaselineGreedy Bottleneck FullyDynamic
48357 2408 2369 33097 1480
45577 2587 2439 35197 1496
48420 2472 2356 33616 1527
49353 2733 2626 32632 1399
47440 2280 2370 34116 1553
46883 2559 2639 33870 1434
57155 5120 2863 36212 1381
47755 2395 2937 33437 1765
51831 4642 2709 37311 1363
53171 2212 2575 36797 1665
44869 2608 2438 32215 1407
45418 3876 2252 34081 1343
47930 2127 2259 39005 1345
57845 4238 2268 36184 2068
48884 4317 2471 30302 1464
54609 2539 2627 34307 1664
51704 3902 2766 33901 1652
46675 3556 2773 34193 1491
49687 4346 2649 34460 1612
45614 4672 2561 35362 1375
55877 4749 2722 34260 1634
47576 2298 2668 34063 1655
47750 4010 2435 34742 1434
51869 3050 2598 35014 1603
52379 2828 2846 36282 1608
53997 3923 2311 38131 1695
44515 2631 3026 38582 1503
46770 2567 2448 34091 1501
51373 2078 2604 33722 1614
52530 4452 2687 36091 1447
51904 2619 2321 34226 1586
53416 6092 2529 32909 1577
55979 4739 2396 31174 1461
50340 3100 2305 36745 1421
46819 4892 2857 35088 1607
52918 4148 2688 33170 1693
52478 3874 2441 35825 1467
52239 5446 2300 32628 1436
53056 2413 2610 34910 1861
50264 3917 2518 34267 1608
53668 4553 2782 35332 1598
56144 3731 2293 36269 1630
50032 2524 2769 39028 1667
48520 2263 2526 39047 1463
52068 3687 2321 35566 1454
51149 2627 2576 40160 1441
50740 5090 2409 34279 1676
46153 5096 2700 37716 1643
55107 2845 2397 38336 1527
51977 4927 2510 36751 1655
48403 4893 2618 36570 1721
50368 4674 2425 34186 1323
54021 4180 2829 35590 1391
52665 4430 2530 34278 1658
49732 2845 2656 35725 1330
50153 4482 2783 33319 1624
50783 6348 2813 37308 1596
54291 2277 2597 31828 1564
51475 2305 2817 35257 1532
51491 3052 2804 40339 1392
49966 2127 2188 33753 1613
50338 3420 2441 35212 1385
54373 3093 2465 35161 1665
48017 2192 2332 28684 1396
56586 4509 2537 35989 1617
52525 2495 2421 37569 1513
47329 3656 2842 32209 1625
55420 6409 2770 33562 1668
47641 4605 2757 35888 1490
52466 3721 2629 34605 1433
49976 2615 2538 34080 1595
55421 4393 2820 35688 1546
52268 4445 2356 33946 1650
50504 2802 2807 37916 1445
48030 3133 2275 37336 1486
51390 3449 2652 38752 1549
54493 6688 2769 36534 1682
51012 3836 2231 36142 1334
51781 3250 2618 36476 1465
46934 4777 2712 36535 1566
52031 2989 2873 37672 1421
53211 4293 2509 34153 1520
49256 2699 3074 38208 1574
56114 6861 2561 37733 1647
50826 3942 2652 33586 1479
52382 4665 2990 37007 1550
54476 3686 2336 34827 1748
52311 2959 2669 37243 1537
52546 6299 2748 34510 1656
47713 5282 2369 28042 1505
57046 4123 2581 34506 1401
48520 4181 2489 41826 1491
57357 2242 2241 35573 1716
49235 5727 2736 37210 1661
53428 2531 2755 35859 1568
51708 3824 2621 34216 1491
47824 2820 2848 38487 1468
53417 2278 2688 34377 1558
56059 4960 2638 37468 1370
52938 2560 2327 29811 1639
53789 2651 2764 33022 1603
53250 2601 2467 33964 1682
51436 2136 2414 36153 1362
50608 2658 2744 36855 1653
45180 2662 2755 33407 1419
53113 5791 2679 35007 1447
50730 3936 3025 36458 1560
51725 3258 2521 36840 1687
56136 5094 2725 33339 1809
45206 3349 2414 35324 1550
53391 3214 2769 38242 1653
46888 2554 2564 34364 1603
51562 2792 2797 35623 1616
54447 3731 2521 36134 1450
53123 2205 2352 34216 1433
48286 2303 2615 37924 1833
49525 4145 2525 33548 1758
51563 4721 2539 38306 1642
42881 2338 2415 34103 1637
53926 6197 2996 47266 1726
54081 2700 2810 35060 1974
49417 3938 2895 41620 1584
60448 6562 2694 38195 1726
46945 2598 2900 33424 1445
48197 4359 2527 38429 1384
48601 2162 2750 34614 1457
53096 3254 2872 35520 1328
50002 2399 2755 34709 1431
49169 4325 2614 35219 1367
54571 2386 2785 34956 1484
51861 3946 2207 31965 1433
62035 3748 2620 36057 1991
45193 2637 2833 32928 1461
51334 2609 2813 36858 1505
55770 2469 2694 34301 1592
44453 2374 2743 36908 1636
50355 3897 2618 35073 1485
49289 3360 2777 35055 1510
52916 3169 2882 35280 1380
51563 6192 2552 32852 1561
54454 4721 2849 38486 1663
49344 3897 2369 34906 1716
53571 6443 2790 37027 1310
53266 4172 2311 34975 1450
49234 2247 3752 35873 1628
54661 4027 2613 33896 1701
49995 4466 2396 34397 1592
53714 2675 2526 36650 1625
49112 4410 2723 33519 1336
51766 2506 2515 35128 1435
49419 6533 2764 36278 1475
53161 5181 2989 39086 1567
52167 5050 2674 34511 1449
43969 2592 2505 38274 1321
52890 4138 2646 34100 1644
51749 2249 2640 34202 1542
47933 5166 2882 36518 1485
51200 4711 2576 34272 1694
52706 3903 3052 34633 1336
53242 3439 2692 36013 1656
52169 3768 2886 37156 1326
46491 5408 3006 34653 1668
48989 4187 2329 35707 1422
55212 2901 2507 34875 1473
54166 2296 2308 34423 1309
52232 2738 2753 36190 1445
50022 2418 2395 32026 1530
52095 5196 3022 41289 2023
44614 2293 2897 30834 1436
52510 3643 2826 36609 1465
50971 3967 2592 34804 1440
50265 4576 2659 36103 1334
48946 2412 2841 33326 1537
48072 3264 2926 40073 1513
46451 3905 2381 34747 1740
48835 2488 2369 36560 1377
49279 6846 2771 36800 1797
52592 3290 2655 34354 1617
50489 2524 2596 35926 1645
52288 2665 2790 36491 1603
43853 3358 2861 35009 1657
49612 4065 2519 33456 1333
52365 4158 2670 34139 1449
49246 2403 2539 34266 1535
51998 2246 2724 38498 1684
48802 3113 2467 30731 1419
51949 2948 2894 35781 1383
51742 4019 2366 35091 1652
45998 4134 2582 36487 1629
51379 3610 2607 33102 1651
49439 2625 2646 33200 1327
51348 2394 2337 31745 1509
45458 2195 2394 31657 1382
42304 3816 2379 45455 1420
53771 3683 2696 34531 1870
48044 6632 2251 36344 1542
54334 3905 2877 35522 1502
46810 2574 2517 33614 1495
51960 3678 2742 37143 1638
51416 2179 2339 30793 1555
51050 2410 2823 34289 1728
53835 3786 2907 36912 1561
49668 4809 2801 33556 1328
51850 4145 2763 34386 1563
47251 3612 2869 34836 1588
52432 2297 2656 37378 1648
52461 2218 2782 35399 1498
52823 2685 2907 37089 1410
51508 3135 2918 35591 1672
52751 2291 2504 32827 1367
50384 5304 2328 33751 1457
47223 4087 2534 35756 1446
52624 3917 2950 35478 1645
42756 4143 3783 40735 1425
55989 4941 2705 36009 2115
53435 4234 2326 34807 1346
53871 3162 2528 35608 1439
