EStree DecrementalDynamicSSSP Dijkstra ScaledEStree
0 81287 131 2
1 80596 131 2
0 80360 130 2
170 80481 131 2
0 80418 129 2
0 80329 129 2
0 80309 128 1
19 80478 129 3
0 80648 130 2
0 80824 133 2
138 80639 128 2
0 107189 158 6
228 127355 147 3
28 101280 147 6
2 98173 141 8
840 81530 129 3
51 82107 129 13
5 80724 129 2
0 80645 129 4
37 80607 129 3
3 80516 126 2
1 81017 127 8
1 80577 127 2
1 80536 126 2
0 86138 142 3
1 84128 137 3
1 81548 129 3
1 80969 149 4
6 80510 127 3
138 81666 134 2
13 81125 131 3
11 81211 129 3
1 80915 130 2
65 83331 137 4
1 84950 135 3
1 83576 130 4
1 80961 127 3
1 80653 127 2
0 94198 139 5
1 93265 131 4
31 81395 130 3
8 81002 125 2
0 81664 126 3
1 80776 125 2
0 80737 122 2
19 80745 128 2
37 80557 121 2
27 81188 124 2
288 81217 125 2
6 80689 119 2
239 80826 118 2
