RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic ModifiedIncremental
1270 199 565 2848 44121 278 10640
1294 202 441 2797 45625 346 10492
1293 204 451 2850 46011 309 10533
1213 189 395 2639 43297 258 9852
1171 204 418 2593 44353 293 10576
1422 192 423 2792 43681 275 11424
1257 209 425 2779 44593 276 10582
1200 193 397 2824 44694 302 10406
1259 203 436 2799 47551 285 11101
1292 205 438 2995 46790 289 11270
1627 346 478 3205 45072 282 10236
1307 201 467 2925 45857 274 10366
1287 344 446 2766 50702 309 11198
1284 227 467 3011 44192 302 10965
1291 202 433 2911 43497 317 10880
1311 202 439 2931 44429 296 10618
1296 205 442 2844 44405 305 10241
1293 204 430 2826 44556 297 10019
1324 220 436 2914 43030 364 10298
1518 213 438 2804 43450 291 9626
1262 207 477 3172 44980 286 9644
1298 185 444 2901 44869 313 10260
1265 194 443 2948 44513 305 10525
1337 333 417 2782 44330 279 9667
1233 190 438 2679 44356 322 10344
1375 226 457 2643 46237 319 9624
1257 209 461 2921 44962 331 9870
1536 249 599 3097 44403 286 10133
1468 234 584 3130 44398 296 10680
1296 199 443 2906 44577 323 10262
1310 198 445 2906 44621 296 9643
1257 182 533 3355 43672 296 10878
1331 207 458 2841 44474 266 9371
1240 185 406 2800 44949 345 13153
1268 313 427 2842 45617 316 10265
1300 195 433 2918 44561 385 10857
1555 200 428 2899 45240 326 10082
1265 195 438 2807 53144 315 12195
1251 196 452 2879 46108 276 9799
1276 319 445 2891 49876 356 11531
1300 210 449 2951 45077 288 9884
1278 207 450 2961 46676 311 10979
1327 191 459 2932 49758 306 10110
1371 226 455 2898 45431 304 10378
1302 336 488 2941 44065 288 9781
1308 202 453 2805 47498 342 10848
1377 204 483 4038 50084 312 11321
1295 201 452 2954 47161 373 10490
1722 232 536 3135 45857 299 10146
1290 405 464 3012 47343 327 10407
1294 209 468 2947 46386 337 10357
1323 204 441 3000 45448 313 10030
1258 193 434 2838 46108 358 12378
1295 203 456 2944 44804 316 10716
1291 207 457 2976 48198 331 10383
1807 271 466 4338 46578 335 10237
1265 317 454 2929 44864 335 10568
1320 209 456 2972 46887 318 10367
1291 187 466 3158 45794 303 12325
1276 200 423 2775 44991 307 10444
1284 219 447 3002 45284 504 1063301136
5167 222 754 8935 55132 394 26414
1368 205 466 3016 47800 295 10834
1282 223 513 3371 48909 297 9998
1295 200 456 2929 44232 341 12491
1464 207 450 2902 46264 272 10160
1190 188 426 2795 40972 260 8940
1219 183 440 2741 41302 328 11033
1272 197 447 3030 43211 276 9244
1215 182 431 2823 41266 445 10793
1330 288 491 3110 44920 304 9890
1329 202 466 3033 44925 324 10335
1340 213 529 3064 43552 312 11022
1300 310 448 3003 46640 289 9387
1214 199 477 2901 44202 312 10364
1338 339 471 3145 46235 303 10318
1231 302 448 3018 45339 331 10363
1382 212 487 3330 45033 304 10283
1343 206 450 3033 45073 317 10602
1283 215 458 3076 45192 369 13684
1408 354 475 3206 46881 342 10399
1332 196 500 3169 44325 292 9348
1249 200 437 2982 42018 325 9877
1283 198 449 2876 42199 291 9127
1201 185 430 3095 44068 319 10268
1263 325 458 2800 40188 266 9046
1191 334 487 3177 43453 309 9906
1264 196 428 2750 40355 293 10171
1274 193 452 2929 43327 278 9137
1184 186 426 2764 41878 332 9916
1243 185 425 2752 40056 306 9986
1269 195 453 2920 42249 272 9459
1223 187 493 3071 42712 277 9247
1203 185 429 3018 41156 269 9724
1199 186 427 2792 41783 296 10041
1283 338 475 3008 44290 297 10541
1274 197 458 2990 45689 312 10395
1292 245 518 3559 44857 291 10637
1230 188 438 2949 47714 350 11288
1280 199 460 3011 44417 319 10537
1391 202 464 2936 43564 293 10123
1193 222 508 3243 43987 367 10789
1292 199 459 3123 42780 338 9960
1350 216 490 2881 41292 370 12229
1263 198 472 3120 44064 377 10985
1327 328 482 3230 44881 282 9653
1201 201 437 2771 42913 306 10636
1338 213 477 3002 43546 360 13117
1300 199 469 2965 45691 444 10722
1337 197 452 2889 46478 419 12555
1327 204 475 3063 49694 288 10999
1210 186 429 2805 45203 322 11376
1284 198 463 2954 43955 366 10766
1267 197 458 2966 43089 325 10852
1288 217 460 2943 44919 303 9858
1206 188 482 3139 44939 294 9931
1388 340 479 3300 43921 286 9923
1253 217 500 3181 44547 323 10682
1288 196 466 2948 46846 373 11979
1316 207 482 3090 44438 377 10458
1360 377 570 3012 44321 338 11283
1182 187 433 2762 41542 304 10623
1266 198 460 2963 44622 292 9813
1192 187 434 2833 44922 420 14863
1361 210 491 3154 44634 356 9925
1349 492 499 2998 44733 314 11242
1313 213 471 3039 47781 327 11538
1318 343 477 3082 58889 324 11316
1264 199 473 2996 42876 292 10211
1181 183 435 2804 42656 294 9832
1196 187 434 2800 43175 282 9886
1185 206 499 3262 41974 356 10458
1336 199 466 2976 45340 496 12976
1268 237 459 3051 45819 330 12169
1245 196 467 3006 42534 316 9730
1192 184 441 2815 41502 297 10415
1265 324 466 2995 45235 372 11024
1189 184 438 2832 44679 320 12698
1486 242 592 3135 44179 315 10485
1278 238 464 3181 43519 325 11082
1326 208 485 3283 47708 437 11823
1304 209 469 3071 47458 384 11256
1327 209 486 3117 45936 325 11220
1308 211 495 3075 44947 319 10456
1280 205 492 3096 45310 290 9890
1237 202 462 2947 44241 357 10352
1267 197 468 3017 42799 360 10843
1283 196 468 3005 43050 408 10156
1249 190 440 2925 1036314287 334 25142
1580 408 514 3183 48150 345 12456
1344 204 486 3191 46614 438 11783
1363 204 491 3084 45738 325 10053
1359 214 507 3231 45325 309 9822
1260 209 464 2953 43327 319 9850
1270 192 450 2978 42598 257 8987
1195 191 442 2845 42134 284 9890
1291 189 441 2842 40655 293 9448
1222 268 444 2941 40545 266 8735
1419 269 517 3524 44181 291 9318
1202 302 443 2847 39585 253 8399
1184 187 443 2855 39498 260 8499
1201 193 442 3019 41528 285 9320
1229 189 454 2963 40593 306 9474
1302 206 474 3188 41666 334 9496
1379 212 552 3301 45406 287 9632
1299 194 471 3233 44220 296 9344
1212 185 461 2978 45075 370 10260
1324 204 493 3170 45472 343 11053
1311 206 495 3194 47486 405 11587
1834 220 503 3335 47264 412 10673
1633 220 504 3329 46343 322 9886
1342 202 514 3177 46347 354 10197
1358 213 506 3187 41076 322 9918
1315 222 551 3227 47113 327 10127
1301 204 494 3182 46869 391 9913
1295 196 484 3132 46568 353 10187
1314 202 499 3168 45139 317 10370
1321 218 491 3172 44716 312 9180
1190 310 453 2885 39840 249 8537
1339 260 455 2917 42142 326 10057
