RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic ModifiedIncremental
1243 214 361 2526 30225 46871 9905
1250 264 365 2551 29973 46023 9858
1320 193 461 2377 30319 46534 10133
1242 251 357 2578 30216 46890 10164
1282 194 375 2365 30424 47137 9760
1238 198 363 2356 29888 47069 9695
1241 317 364 2389 32758 47917 13112
1249 196 365 2377 30623 47812 9992
1248 195 361 2341 31658 48453 9926
1369 211 370 2461 44372 75926 14332
4510 398 1429 9662 68595 107028 20237
1282 205 947 2689 46270 55301 16504
1256 196 365 2400 38427 50325 10344
1253 256 376 2393 32687 50695 10409
1257 211 384 2485 39038 53436 15299
1250 197 368 2465 37574 75532 14142
1264 198 377 2414 33763 68139 10723
1285 202 372 3713 32531 50629 10570
1244 196 367 2378 33741 52690 10336
1374 324 366 2394 32936 69393 13275
1946 246 381 5173 41526 54121 10930
1387 202 378 2417 39886 65138 11259
1519 397 386 3097 42398 60719 10915
2070 557 382 2502 33389 61824 11404
1245 198 369 2383 30695 52389 10273
1270 196 370 2408 36071 52863 11911
1253 194 375 2410 31416 53173 10024
1250 194 369 2418 30595 53142 10014
1254 197 372 2402 31274 54015 10104
1260 194 371 2430 30597 54493 10020
1257 196 372 2426 30623 54040 10048
1390 202 376 2410 30310 54655 9899
1315 219 384 2739 33616 61422 10853
1262 630 390 2457 34095 95288 12276
1264 198 418 2448 31367 56908 10633
1282 201 379 2536 31123 56207 10646
1332 201 399 2631 32913 95622 15019
1480 457 846 11308 46838 74942 12005
1503 198 483 2633 35119 56711 10293
1288 327 385 2421 31487 55768 10122
1248 195 371 2398 30092 56232 9793
1259 197 380 2398 30211 57358 10486
1409 205 379 2395 33143 63928 10511
1339 207 385 3160 37592 68332 10499
1255 196 379 2449 30681 58516 10276
1259 199 377 2432 30829 57757 10199
1258 196 377 2401 30450 59558 10532
1264 199 389 2413 31937 57851 11214
1291 199 381 2441 32096 60634 10640
1256 197 386 2411 32357 57496 10161
1261 199 380 2422 30410 57878 10123
1257 198 377 2435 30200 57749 10006
1258 198 385 2416 30182 61294 10432
1255 198 384 2419 30651 58148 10451
1247 198 381 2418 31081 58414 10531
1268 196 380 2429 30586 58595 10005
1227 197 396 2464 30753 59069 11363
1249 322 380 2434 30504 58762 10180
1250 194 386 2450 30099 62574 11006
1277 203 382 2454 31002 59691 10216
1295 201 388 2471 30704 59754 10160
1265 220 455 2531 35063 74287 12252
1338 204 391 2544 44642 74048 11359
1366 198 387 2447 36472 59905 10772
1257 196 383 2455 30543 60014 10083
1253 194 388 2447 29967 60394 9816
1277 207 411 2488 31206 63649 10315
1283 202 385 3029 35160 63392 11427
1262 199 384 2465 30775 63870 10089
1301 203 468 2691 37833 64137 11408
1665 202 393 2674 35018 62726 10675
1557 203 389 2508 34216 66405 13714
1294 204 390 2517 39742 64745 10718
1383 212 468 2755 37383 62209 12187
1353 328 419 2490 30599 61502 10105
1255 199 385 2485 30116 60998 9976
1259 198 391 2470 30260 63640 10005
1333 332 386 2475 30984 63121 11064
1262 199 389 2543 30831 61640 10400
1261 196 388 2479 30287 61174 9920
1249 181 390 2496 31987 69407 16841
1262 190 396 2653 32376 64098 10419
1376 198 403 4897 32768 70948 10548
1337 267 404 2589 42073 67420 10637
1320 200 394 3343 31389 65168 11182
1279 198 395 2573 30827 64237 10305
1265 198 393 2579 31180 63815 10407
1453 208 399 2621 33072 63422 11875
1263 199 392 2572 31375 64241 10477
1307 192 397 2515 30990 64489 11332
1282 196 432 2563 78932 120934 47859
2500 207 398 2746 43606 72719 29254
1283 336 394 2527 31800 63255 11027
1259 270 392 2547 30716 62491 10214
1270 196 397 2527 31264 63371 10651
1271 197 393 2527 31031 63232 10504
1262 196 399 2512 30257 63480 10061
1268 199 397 2542 32049 61562 11365
1267 212 400 2558 30344 61776 10019
1251 199 400 2584 30534 61797 10341
1257 322 399 2561 34232 61870 10392
1261 194 400 2530 30545 67160 10228
1290 201 417 2675 44481 76669 22884
1327 328 407 2753 33640 67949 10694
1284 203 403 2617 30717 61792 10331
1258 199 398 2566 30433 61460 10133
1255 198 401 2570 30289 61401 10072
1261 195 406 2563 30735 61400 10031
1295 1732 401 2579 30612 70969 10215
1961 344 745 3073 44581 62276 11904
1264 202 404 2589 30769 61337 10183
1259 197 403 2574 30157 61648 9955
1268 200 404 2621 30813 61722 10336
1250 213 425 2591 30373 61281 10005
1266 195 414 2560 30294 61240 9950
1262 194 401 2585 30534 61296 10383
1263 202 405 2578 30432 61372 10142
1270 198 410 2588 30580 63927 10067
1457 383 516 3824 32170 61220 10328
1263 199 404 2613 30569 60523 10119
1268 203 407 2607 30045 60665 9798
1265 202 407 2614 30399 60375 9990
1252 196 405 2628 30414 60471 10018
1265 195 403 2618 30406 60208 10011
1264 195 409 2613 30031 60243 9811
1267 195 403 2615 30072 60256 10031
1264 207 407 2608 30219 60572 10101
1276 198 418 2612 32867 60363 11048
1275 197 429 2640 30871 59999 10359
1272 216 406 2623 30463 59561 10168
1261 200 406 2630 30256 59730 10020
1260 196 405 2644 30241 59287 9972
1267 329 410 2628 30073 59435 10067
1267 197 405 2642 30926 60428 10265
1349 225 416 2648 30682 59176 10179
1265 195 410 2625 30383 60734 10393
1271 207 410 2669 31494 58976 10433
1278 197 410 2651 30598 58526 10231
1258 195 410 2646 30230 58573 9984
1263 199 409 2659 30337 58126 9931
1267 197 413 2640 30002 58169 9878
1265 205 412 2666 30410 57973 10176
1266 186 409 2660 30287 58038 10134
1263 201 413 2671 30462 57953 10169
1267 193 409 2666 30447 57773 10061
1264 200 412 2686 30856 57787 10188
1280 199 411 2679 30550 57450 10059
1273 203 413 2685 30404 57112 10077
1265 204 488 2679 30731 57167 10170
1288 198 414 2655 30188 57840 10002
1262 204 409 2709 30989 56286 10322
1260 203 409 2690 30255 56549 9971
1265 213 411 2693 30715 56651 10366
1304 191 419 2728 30349 56785 9952
1267 198 413 2716 30656 57288 10458
1275 324 413 2669 30234 58126 10004
1271 194 437 2727 30325 57761 14191
1264 331 411 2705 37427 58754 16911
1287 199 417 2697 30598 58058 10259
1279 206 414 2696 29862 59062 9689
1271 199 419 2693 30025 58834 9862
1274 198 431 2699 32704 58890 9923
1266 202 415 2709 29944 59782 9814
1278 203 413 2841 32078 79094 10347
1288 202 418 2707 38499 70209 10520
1273 198 441 2705 30904 60327 10111
1268 200 417 2715 30611 60536 10106
1275 204 419 2702 30462 61118 10098
1267 198 417 2721 33076 61262 10433
1273 204 421 2705 30483 61359 10130
1271 204 424 2704 30872 61543 10328
1261 196 421 2711 31337 61853 10050
1317 202 439 2869 33012 75518 11575
1458 333 438 2861 36721 72127 11628
1284 202 549 2781 35166 63422 10564
1301 200 434 2839 31734 67282 10397
1283 197 422 2800 32545 63854 10937
1280 330 421 2819 54908 85399 11581
1394 200 429 2845 32890 63645 10603
1459 200 424 2765 30604 64429 10070
1272 213 423 2747 30681 64398 10335
1276 211 422 2808 30720 64404 10211
1276 212 425 2763 30286 64713 9993
1277 199 426 2760 30435 64599 10092
1291 203 424 2798 36166 65594 10662
1290 205 422 2771 30636 64805 10147
1290 199 428 2798 30283 65344 9991
1278 330 427 2786 30530 65309 10089
1269 200 432 2792 30344 68852 10071
1291 322 426 2801 30877 66448 11791
1301 330 432 2940 30682 66168 10210
1289 240 428 2783 30314 66200 9941
1307 334 441 2793 30320 67184 9985
1303 199 426 2824 31782 67997 10504
1279 202 433 2807 32335 68724 10698
1292 326 426 2815 30437 66917 10201
1323 205 435 2871 31121 75707 10464
1375 205 440 2874 36897 67100 10498
1272 203 428 2798 30577 67632 10122
1286 200 430 2809 30466 67608 12115
1295 202 435 2817 34169 67801 10402
1280 324 447 2890 30607 67758 10183
1279 202 429 2798 30125 67902 10020
1280 230 433 2815 30187 68420 9791
1308 203 453 2819 30406 68507 10118
1294 208 432 2862 30421 68678 9946
1286 241 458 2865 30937 68837 10144
1287 203 432 2845 30268 69016 9838
1283 258 434 2809 30620 69061 10220
1283 200 457 2807 30078 68834 9898
1282 200 432 2818 31664 69162 9903
1278 201 433 2832 30180 69221 9972
1277 199 432 2842 30414 69277 10221
1279 197 436 2834 30147 69615 9815
1281 195 439 2865 32295 70295 10259
1291 222 435 2861 30988 69740 10202
1284 324 440 2837 30437 69939 10116
1279 201 439 2835 29894 70067 9719
1283 197 435 2829 30158 70210 10405
1280 198 441 2841 30147 70600 9876
1276 207 438 2851 30428 70489 10106
1278 201 444 2896 30090 70217 9676
1276 328 437 2879 30005 70909 9773
1284 202 440 2884 30450 70550 10055
1281 205 438 2869 30224 70974 9944
1372 210 443 2880 30220 70736 9924
1289 272 439 2877 30429 71444 10040
1284 205 442 2885 30489 70820 10097
1292 202 440 2885 30540 71126 10138
1281 213 438 2888 30477 71226 10055
1284 329 441 2887 30598 71558 10123
1288 215 445 2880 30603 70974 10109
1296 205 438 2903 30426 71166 10178
1289 198 459 2878 30271 71156 10129
1281 200 443 2887 30376 71301 10124
1285 201 446 2878 30398 71052 10057
1287 202 443 2906 30328 71467 10059
1292 200 444 2900 30482 71209 10093
1282 210 447 2902 30665 73841 10018
