RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic ModifiedIncremental
13 43 22 15 61 20 42
15 44 22 15 60 20 38
15 21 20 17 59 20 62
15 18 20 15 51 20 51
14 16 20 15 51 20 46
15 38 20 14 51 20 48
14 16 20 17 51 20 33
13 28 19 17 51 20 54
13 28 19 15 51 20 37
15 17 20 15 51 20 36
15 17 20 13 51 20 55
15 17 19 17 51 20 51
14 19 20 17 51 20 58
14 19 20 15 51 20 50
13 21 19 15 51 20 42
15 22 20 13 51 20 48
14 16 20 15 51 20 59
16 24 19 17 51 20 38
13 18 20 15 51 20 51
16 16 20 17 51 20 40
14 18 20 14 51 20 41
14 37 20 15 51 20 38
15 29 17 14 51 20 60
14 26 20 15 51 20 42
15 29 16 15 51 20 51
16 14 20 13 51 20 46
15 17 20 17 51 20 58
15 17 20 17 51 20 48
14 35 20 15 51 20 41
14 18 17 15 51 20 45
13 30 20 17 51 20 40
15 37 20 15 51 20 38
17 16 20 15 51 20 40
13 36 20 14 51 20 51
13 16 20 15 51 20 51
15 25 20 15 51 20 51
15 22 16 16 51 20 54
15 29 17 15 51 20 42
14 17 20 17 51 20 51
14 20 20 17 51 20 50
15 24 20 15 51 20 51
15 19 20 13 51 20 54
16 15 18 15 51 20 52
15 13 17 15 51 20 43
17 17 20 13 51 20 49
15 18 20 15 51 20 59
14 38 20 15 51 20 38
17 34 20 19 51 20 41
16 34 20 15 51 20 54
16 24 20 13 51 20 39
14 16 20 15 51 20 33
14 26 16 15 51 20 37
13 15 16 14 51 20 53
15 16 20 15 51 20 57
14 17 20 15 51 20 60
15 33 20 15 51 20 62
17 16 20 15 51 20 52
13 17 20 15 51 20 40
14 14 20 15 51 20 36
16 17 20 15 51 20 53
13 30 20 14 51 20 37
14 17 16 15 51 20 34
15 23 20 15 51 20 41
15 17 20 15 51 20 41
15 33 20 13 51 20 47
14 37 17 15 51 20 49
16 16 16 15 51 20 40
14 24 20 15 51 20 62
15 18 19 15 51 20 48
15 24 16 17 51 20 43
14 17 20 14 51 20 51
17 31 20 15 51 20 48
14 15 20 15 51 20 59
13 19 20 15 51 20 59
13 16 20 15 51 20 35
15 17 20 14 51 20 52
13 31 20 15 51 20 39
12 17 20 15 51 20 44
13 18 16 15 51 20 40
15 17 20 16 51 20 60
14 29 17 15 51 20 38
13 16 16 17 51 20 42
15 29 20 13 51 20 32
15 16 20 13 51 20 37
15 15 20 15 51 20 55
13 18 20 13 51 20 52
14 15 20 15 51 20 35
16 17 20 14 51 20 36
15 19 20 15 51 20 49
13 15 20 13 51 20 60
12 21 20 16 51 20 32
14 28 20 12 51 20 40
15 17 20 12 51 20 51
14 34 20 17 51 20 53
14 23 20 15 51 20 42
13 19 20 13 51 20 38
14 21 20 15 51 20 60
14 29 20 15 51 20 36
14 19 20 15 51 19 51
13 34 20 15 51 17 51
14 15 15 15 51 17 52
11 19 17 15 51 17 40
14 15 17 13 51 17 53
15 17 20 13 51 17 50
14 16 15 15 51 17 59
15 18 20 11 51 17 49
14 38 15 15 51 17 59
13 16 17 15 51 17 51
15 28 20 16 51 17 61
13 13 20 17 51 17 58
14 15 20 14 51 17 59
13 18 17 13 51 17 46
14 33 20 14 51 17 49
15 15 20 13 51 17 54
15 20 20 13 51 17 59
15 19 20 17 51 17 58
13 25 20 11 51 17 39
12 15 20 13 51 17 44
17 18 20 13 51 17 37
13 21 17 13 51 17 37
14 19 18 15 51 17 53
14 22 20 14 51 17 41
12 25 20 15 51 17 44
13 16 20 15 51 17 61
14 20 20 13 51 17 60
12 29 16 15 51 17 46
14 20 20 15 51 17 37
13 17 17 15 51 17 49
14 25 20 17 51 17 35
14 22 20 16 51 17 51
15 29 15 12 51 15 42
13 36 15 15 51 15 61
12 18 15 11 51 15 48
12 20 20 12 51 15 53
13 29 20 13 51 15 49
13 16 20 13 51 15 40
13 14 20 13 51 15 38
14 34 20 13 51 15 50
14 15 20 12 51 15 50
